PlayerId,Date,Field.Position,Test.Type,Weight..kg.,Trial,Countermovement.Depth..cm.,Flight.Time..s.,Jump.Height..Imp.Mom..in.Inches,Concentric.Mean.Force..N.,Concentric.Mean.Force..Left...N.,Concentric.Mean.Force..Right...N.,Concentric.Mean.Force..Asym...N.,Eccentric.Mean.Force..N.,Eccentric.Mean.Force..Left...N.,Eccentric.Mean.Force..Right...N.,Eccentric.Mean.Force..Asym...N.,Eccentric.Mean.Power..W.,Concentric.Mean.Power..W.,Mean.Takeoff.Velocity..m.s.,Peak.Power..W.,Concentric.Peak.Velocity..m.s.,Contraction.Time..s.,Eccentric.Duration..s.,Concentric.Duration..s.,Braking.Phase.Duration,Force.at.Peak.Power..N.,Force.at.Peak.Power..Left...N.,Force.at.Peak.Power..Right...N.,Force.at.Peak.Power..Asym...N.,Concentric.Peak.Force..N.,Concentric.Peak.Force..Left...N.,Concentric.Peak.Force..Right...N.,Concentric.Peak.Force..Asym...N.,Eccentric.Peak.Force..N.,Eccentric.Peak.Force..Left...N.,Eccentric.Peak.Force..Right...N.,Eccentric.Peak.Force..Asym...N.,RSI.Modified..m.s.,Velocity.at.Peak.Power..m.s.,Eccentric.Braking.Impulse,Eccentric.Braking.Impulse..Left.,Eccentric.Braking.Impulse..Right.,Eccentric.Braking.Impulse..Asym.,Concentric.Impulse..Ns.,Concentric.Impulse..Left...Ns.,Concentric.Impulse..Right...Ns.,Concentric.Impulse..Asym...Ns.
101,9/19/2023,Pitcher,CMJ,94.8,1,-33.556,0.646,17.896,2050.792,1040.334,1010.458,-2.9,934.322,480.994,453.327,-5.752,611.869,3294.489,1.751,5925.832,3.094,0.758,0.508,0.25,0.296,2150.784,1098.81,1051.974,-4.262,2344.784,1177.81,1176.974,-0.071,2262.784,1149.81,1112.974,-3.204,67.488,2.755,71.116,171.692,174.635,1.686,282.087,260.997,253.533,-2.86
101,9/19/2023,Pitcher,CMJ,,2,-35.775,0.672,19.165,2028.314,1042.415,985.9,-5.4,930.755,467.424,463.331,-0.875,698.8,3367.994,1.817,5982.976,3.191,0.74,0.474,0.266,0.268,2068.784,1067.81,1000.974,-6.259,2397.784,1236.81,1166.974,-5.646,2368.784,1232.81,1135.974,-7.855,74.806,2.892,87.652,165.306,171.524,3.625,293.91,278.135,263.093,-5.408
101,9/19/2023,Pitcher,CMJ,,3,-38.117,0.674,19.394,2008.536,1046.431,962.106,-8.1,931.669,467.252,464.416,-0.607,732.238,3302.266,1.765,5989.347,3.189,0.754,0.482,0.272,0.266,2059.784,1065.81,993.974,-6.74,2295.784,1205.81,1092.974,-9.358,2339.784,1204.81,1153.974,-4.219,73.855,2.908,100.212,175.045,172.485,-1.463,295.127,285.511,262.513,-8.055
102,9/6/2023,In-field,CMJ,95.8,1,-34.132,0.602,16.866,2051.163,1005.812,1045.351,3.8,943.27,392.891,550.379,28.615,605.191,3225.771,1.731,5582.074,2.982,0.776,0.528,0.248,0.306,2083.723,1034.804,1048.919,1.346,2436.723,1172.804,1269.919,7.647,2432.723,1165.804,1266.919,7.981,57.248,2.679,63.128,158.65,192.018,17.378,277.314,250.298,260.055,3.752
102,9/6/2023,In-field,CMJ,,2,-34.866,0.614,16.725,2021.059,946.077,1074.981,12,943.244,495.615,447.628,-9.682,618.2,3195.94,1.753,5515.635,2.981,0.782,0.528,0.254,0.284,2052.723,991.804,1060.919,6.515,2491.723,1128.804,1373.919,17.841,2489.723,1115.804,1376.919,18.964,59.096,2.687,76.191,158.884,184.174,13.731,276.225,241.13,273.771,11.923
102,9/6/2023,In-field,CMJ,,3,-34.174,0.608,16.4,2054.723,1026.121,1028.602,0.2,943.254,474.627,468.627,-1.264,632.137,3200.679,1.724,5488.009,2.942,0.75,0.506,0.244,0.27,2086.723,1042.804,1043.919,0.107,2536.723,1218.804,1324.919,8.009,2538.723,1211.804,1331.919,9.018,60.419,2.63,77.676,146.806,184.582,20.466,273.645,251.189,251.736,0.217
103,9/6/2023,Out-field,CMJ,107.5,1,-36.437,0.6,17.242,2289.294,1133.855,1155.439,1.9,1056.961,554.303,502.657,-9.317,735.994,3644.278,1.757,6466.707,3.032,0.774,0.52,0.254,0.272,2424.279,1183.043,1241.236,4.688,2764.279,1432.043,1334.236,-6.83,2774.279,1450.043,1332.236,-8.124,57.015,2.667,98.738,204.204,181.334,-11.199,315.48,288.869,294.432,1.889
103,9/6/2023,Out-field,CMJ,,2,-41.899,0.632,18.615,2349.901,1199.531,1150.37,-4.1,1057.336,518.043,539.293,3.94,897.944,3911.948,1.859,6716.341,3.142,0.742,0.49,0.252,0.268,2371.279,1209.043,1162.236,-3.871,3137.279,1639.043,1498.236,-8.591,3185.279,1680.043,1519.236,-9.572,65.987,2.832,106.179,190.613,198.148,3.803,328.056,303.065,290.702,-4.079
103,9/6/2023,Out-field,CMJ,,3,-42.094,0.62,18.734,2313.833,1159.143,1154.69,-0.4,1063.215,542.268,520.948,-3.932,940.644,3888.42,1.869,6647.509,3.144,0.728,0.47,0.258,0.284,2347.279,1185.043,1162.236,-1.925,3146.279,1616.043,1530.236,-5.31,3194.279,1635.043,1568.236,-4.086,64.727,2.832,111.001,207.212,203.242,-1.916,326.394,299.799,298.633,-0.389
104,9/5/2023,Catcher,CMJ,94,1,-25.28,0.592,14.581,2072.12,1011.907,1060.213,4.6,926.954,472.959,453.995,-4.01,591.376,3036.242,1.623,5244.608,2.782,0.61,0.392,0.218,0.248,2162.756,1082.289,1080.467,-0.168,2402.756,1182.289,1261.467,6.277,2399.756,1143.289,1257.467,9.08,70.428,2.425,53.745,140.566,141.719,0.814,252.586,221.502,231.978,4.516
